Date,Price
3/9/2015,190.880005
3/10/2015,190.320007
3/11/2015,193.740005
3/12/2015,191.070007
3/13/2015,188.679993
3/16/2015,195.699997
3/17/2015,194.729996
3/18/2015,200.710007
3/19/2015,195.649994
3/20/2015,198.080002
3/23/2015,199.630005
3/24/2015,201.720001
3/25/2015,194.300003
3/26/2015,190.410004
3/27/2015,185
3/30/2015,190.570007
3/31/2015,188.770004
4/1/2015,187.589996
4/2/2015,191
4/6/2015,203.100006
4/7/2015,203.25
4/8/2015,207.669998
4/9/2015,210.089996
4/10/2015,210.899994
4/13/2015,209.779999
4/14/2015,207.460007
4/15/2015,207.830002
4/16/2015,206.699997
4/17/2015,206.789993
4/20/2015,205.270004
4/21/2015,209.410004
4/22/2015,219.440002
4/23/2015,218.600006
4/24/2015,218.429993
4/27/2015,231.550003
4/28/2015,230.479996
4/29/2015,232.449997
4/30/2015,226.050003
5/1/2015,226.029999
5/4/2015,230.509995
5/5/2015,232.949997
5/6/2015,230.429993
5/7/2015,236.800003
5/8/2015,236.610001
5/11/2015,239.490005
5/12/2015,244.740005
5/13/2015,243.179993
5/14/2015,244.100006
5/15/2015,248.839996
5/18/2015,248.75
5/19/2015,247.139999
5/20/2015,244.350006
5/21/2015,245.619995
5/22/2015,247.729996
5/26/2015,247.460007
5/27/2015,247.429993
5/28/2015,251.449997
5/29/2015,250.800003
6/1/2015,249.449997
6/2/2015,248.350006
6/3/2015,248.990005
6/4/2015,245.919998
6/5/2015,249.139999
6/8/2015,256.290009
6/9/2015,256
6/10/2015,250.699997
6/11/2015,251.410004
6/12/2015,250.690002
6/15/2015,250.380005
6/16/2015,253.119995
6/17/2015,260.410004
6/18/2015,261.890015
6/19/2015,262.51001
6/22/2015,259.790009
6/23/2015,267.670013
6/24/2015,265.170013
6/25/2015,268.790009
6/26/2015,267.089996
6/29/2015,262.019989
6/30/2015,268.26001
7/1/2015,269.149994
7/2/2015,280.019989
7/6/2015,279.720001
7/7/2015,267.880005
7/8/2015,254.960007
7/9/2015,257.920013
7/10/2015,259.149994
7/13/2015,262.160004
7/14/2015,265.649994
7/15/2015,263.140015
7/16/2015,266.679993
7/17/2015,274.660004
7/20/2015,282.26001
7/21/2015,266.769989
7/22/2015,267.869995
7/23/2015,267.200012
7/24/2015,265.410004
7/27/2015,253.009995
7/28/2015,264.820007
7/29/2015,263.820007
7/30/2015,266.790009
7/31/2015,266.149994
8/3/2015,259.98999
8/4/2015,266.279999
8/5/2015,270.130005
8/6/2015,246.130005
8/7/2015,242.509995
8/10/2015,241.139999
8/11/2015,237.369995
8/12/2015,238.169998
8/13/2015,242.509995
8/14/2015,243.149994
8/17/2015,254.990005
8/18/2015,260.720001
8/19/2015,255.25
8/20/2015,242.179993
8/21/2015,230.770004
8/24/2015,218.869995
8/25/2015,220.029999
8/26/2015,224.839996
8/27/2015,242.990005
8/28/2015,248.479996
8/31/2015,249.059998
9/1/2015,238.630005
9/2/2015,247.690002
9/3/2015,245.570007
9/4/2015,241.929993
9/8/2015,248.169998
9/9/2015,248.910004
9/10/2015,248.479996
9/11/2015,250.240005
9/14/2015,253.190002
9/15/2015,253.570007
9/16/2015,262.25
9/17/2015,262.070007
9/18/2015,260.619995
9/21/2015,264.200012
9/22/2015,260.940002
9/23/2015,261.059998
9/24/2015,263.119995
9/25/2015,256.910004
9/28/2015,248.429993
9/29/2015,246.649994
9/30/2015,248.399994
10/1/2015,239.880005
10/2/2015,247.570007
10/5/2015,246.149994
10/6/2015,241.460007
10/7/2015,231.960007
10/8/2015,226.720001
10/9/2015,220.690002
10/12/2015,215.580002
10/13/2015,219.25
10/14/2015,216.880005
10/15/2015,221.309998
10/16/2015,227.009995
10/19/2015,228.100006
10/20/2015,213.029999
10/21/2015,210.089996
10/22/2015,211.720001
10/23/2015,209.089996
10/26/2015,215.259995
10/27/2015,210.350006
10/28/2015,212.960007
10/29/2015,211.630005
10/30/2015,206.929993
11/2/2015,213.789993
11/3/2015,208.350006
11/4/2015,231.630005
11/5/2015,231.770004
11/6/2015,232.360001
11/9/2015,225.330002
11/10/2015,216.5
11/11/2015,219.080002
11/12/2015,212.940002
11/13/2015,207.190002
11/16/2015,214.309998
11/17/2015,214
11/18/2015,221.070007
11/19/2015,221.800003
11/20/2015,220.009995
11/23/2015,217.75
11/24/2015,218.25
11/25/2015,229.639999
11/27/2015,231.610001
11/30/2015,230.259995
12/1/2015,237.190002
12/2/2015,231.990005
12/3/2015,232.710007
12/4/2015,230.380005
12/7/2015,231.130005
12/8/2015,226.720001
12/9/2015,224.520004
12/10/2015,227.070007
12/11/2015,217.020004
12/14/2015,218.580002
12/15/2015,221.089996
12/16/2015,234.509995
12/17/2015,233.389999
12/18/2015,230.460007
12/21/2015,232.559998
12/22/2015,229.949997
12/23/2015,229.699997
12/24/2015,230.570007
12/28/2015,228.949997
12/29/2015,237.190002
12/30/2015,238.089996
12/31/2015,240.009995
1/4/2016,223.410004
1/5/2016,223.429993
1/6/2016,219.039993
1/7/2016,215.649994
1/8/2016,211
1/11/2016,207.850006
1/12/2016,209.970001
1/13/2016,200.309998
1/14/2016,206.179993
1/15/2016,204.990005
1/19/2016,204.720001
1/20/2016,198.699997
1/21/2016,199.970001
1/22/2016,202.550003
1/25/2016,196.380005
1/26/2016,193.559998
1/27/2016,188.070007
1/28/2016,189.699997
1/29/2016,191.199997
2/1/2016,196.940002
2/2/2016,182.779999
2/3/2016,173.479996
2/4/2016,175.330002
2/5/2016,162.600006
2/8/2016,147.990005
2/9/2016,148.25
2/10/2016,143.669998
2/11/2016,150.470001
2/12/2016,151.039993
2/16/2016,155.169998
2/17/2016,168.679993
2/18/2016,166.770004
2/19/2016,166.580002
2/22/2016,177.740005
2/23/2016,177.210007
2/24/2016,179
2/25/2016,187.429993
2/26/2016,190.339996
2/29/2016,191.929993
3/1/2016,186.350006
3/2/2016,188.339996
3/3/2016,195.740005
3/4/2016,201.039993
3/7/2016,205.289993
3/8/2016,202.600006
3/9/2016,208.720001
3/10/2016,205.179993
3/11/2016,207.5
3/14/2016,215.149994
3/15/2016,218.339996
3/16/2016,221.929993
3/17/2016,226.380005
3/18/2016,232.740005
3/21/2016,238.320007
3/22/2016,234.240005
3/23/2016,222.580002
3/24/2016,227.75
3/28/2016,230.259995
3/29/2016,230.130005
3/30/2016,226.889999
3/31/2016,229.770004
4/1/2016,237.589996
4/4/2016,246.990005
4/5/2016,255.470001
4/6/2016,265.420013
4/7/2016,257.200012
4/8/2016,250.070007
4/11/2016,249.919998
4/12/2016,247.820007
4/13/2016,254.529999
4/14/2016,251.860001
4/15/2016,254.509995
4/18/2016,253.880005
4/19/2016,247.369995
4/20/2016,249.970001
4/21/2016,248.289993
4/22/2016,253.75
4/25/2016,251.820007
4/26/2016,253.740005
4/27/2016,251.470001
4/28/2016,247.710007
4/29/2016,240.759995
5/2/2016,241.800003
5/3/2016,232.320007
5/4/2016,222.559998
5/5/2016,211.529999
5/6/2016,214.929993
5/9/2016,208.919998
5/10/2016,208.690002
5/11/2016,208.960007
5/12/2016,207.279999
5/13/2016,207.610001
5/16/2016,208.289993
5/17/2016,204.660004
5/18/2016,211.169998
5/19/2016,215.210007
5/20/2016,220.279999
5/23/2016,216.220001
5/24/2016,217.910004
5/25/2016,219.580002
5/26/2016,225.119995
5/27/2016,223.039993
5/31/2016,223.229996
6/1/2016,219.559998
6/2/2016,218.960007
6/3/2016,218.990005
6/6/2016,220.679993
6/7/2016,232.339996
6/8/2016,235.520004
6/9/2016,229.360001
6/10/2016,218.789993
6/13/2016,217.869995
6/14/2016,214.960007
6/15/2016,217.699997
6/16/2016,217.929993
6/17/2016,215.470001
6/20/2016,219.699997
6/21/2016,219.610001
6/22/2016,196.660004
6/23/2016,196.399994
6/24/2016,193.149994
6/27/2016,198.550003
6/28/2016,201.789993
6/29/2016,210.190002
6/30/2016,212.279999
7/1/2016,216.5
7/5/2016,213.979996
7/6/2016,214.440002
7/7/2016,215.940002
7/8/2016,216.779999
7/11/2016,224.779999
7/12/2016,224.649994
7/13/2016,222.529999
7/14/2016,221.529999
7/15/2016,220.399994
7/18/2016,226.25
7/19/2016,225.259995
7/20/2016,228.360001
7/21/2016,220.5
7/22/2016,222.270004
7/25/2016,230.009995
7/26/2016,229.509995
7/27/2016,228.490005
7/28/2016,230.610001
7/29/2016,234.789993
8/1/2016,230.009995
8/2/2016,227.199997
8/3/2016,225.789993
8/4/2016,230.610001
8/5/2016,230.029999
8/8/2016,226.160004
8/9/2016,229.080002
8/10/2016,225.649994
8/11/2016,224.910004
8/12/2016,225.610001
8/15/2016,225.589996
8/16/2016,223.610001
8/17/2016,223.240005
8/18/2016,223.509995
8/19/2016,225
8/22/2016,222.929993
8/23/2016,224.839996
8/24/2016,222.619995
8/25/2016,220.960007
8/26/2016,219.990005
8/29/2016,215.199997
8/30/2016,211.339996
8/31/2016,212.009995
9/1/2016,200.770004
9/2/2016,197.779999
9/6/2016,202.830002
9/7/2016,201.710007
9/8/2016,197.360001
9/9/2016,194.470001
9/12/2016,198.300003
9/13/2016,196.050003
9/14/2016,196.410004
9/15/2016,200.419998
9/16/2016,205.399994
9/19/2016,206.339996
9/20/2016,204.639999
9/21/2016,205.220001
9/22/2016,206.429993
9/23/2016,207.449997
9/26/2016,208.990005
9/27/2016,205.809998
9/28/2016,206.270004
9/29/2016,200.699997
9/30/2016,204.029999
10/3/2016,213.699997
10/4/2016,211.410004
10/5/2016,208.460007
10/6/2016,201
10/7/2016,196.610001
10/10/2016,200.949997
10/11/2016,200.100006
10/12/2016,201.509995
10/13/2016,200.240005
10/14/2016,196.509995
10/17/2016,193.960007
10/18/2016,199.100006
10/19/2016,203.559998
10/20/2016,199.100006
10/21/2016,200.089996
10/24/2016,202.759995
10/25/2016,202.339996
10/26/2016,202.240005
10/27/2016,204.009995
10/28/2016,199.970001
10/31/2016,197.729996
11/1/2016,190.789993
11/2/2016,188.020004
11/3/2016,187.419998
11/4/2016,190.559998
11/7/2016,193.210007
11/8/2016,194.940002
11/9/2016,190.059998
11/10/2016,185.350006
11/11/2016,188.559998
11/14/2016,181.449997
11/15/2016,183.770004
11/16/2016,183.929993
11/17/2016,188.660004
11/18/2016,185.020004
11/21/2016,184.520004
11/22/2016,191.169998
11/23/2016,193.139999
11/25/2016,196.649994
11/28/2016,196.119995
11/29/2016,189.570007
11/30/2016,189.399994
12/1/2016,181.880005
12/2/2016,181.470001
12/5/2016,186.800003
12/6/2016,185.850006
12/7/2016,193.149994
12/8/2016,192.289993
12/9/2016,192.179993
12/12/2016,192.429993
12/13/2016,198.149994
12/14/2016,198.690002
12/15/2016,197.580002
12/16/2016,202.490005
12/19/2016,202.729996
12/20/2016,208.789993
12/21/2016,207.699997
12/22/2016,208.449997
12/23/2016,213.339996
12/27/2016,219.529999
12/28/2016,219.740005
12/29/2016,214.679993
12/30/2016,213.690002
1/3/2017,216.990005
1/4/2017,226.990005
1/5/2017,226.75
1/6/2017,229.009995
1/9/2017,231.279999
1/10/2017,229.869995
1/11/2017,229.729996
1/12/2017,229.589996
1/13/2017,237.75
1/17/2017,235.580002
1/18/2017,238.360001
1/19/2017,243.759995
1/20/2017,244.729996
1/23/2017,248.919998
1/24/2017,254.610001
1/25/2017,254.470001
1/26/2017,252.509995
1/27/2017,252.949997
1/30/2017,250.630005
1/31/2017,251.929993
2/1/2017,249.240005
2/2/2017,251.550003
2/3/2017,251.330002
2/6/2017,257.769989
2/7/2017,257.480011
2/8/2017,262.079987
2/9/2017,269.200012
2/10/2017,269.230011
2/13/2017,280.600006
2/14/2017,280.980011
2/15/2017,279.76001
2/16/2017,268.950012
2/17/2017,272.230011
2/21/2017,277.390015
2/22/2017,273.51001
2/23/2017,255.990005
2/24/2017,257
2/27/2017,246.229996
2/28/2017,249.990005
3/1/2017,250.020004
3/2/2017,250.479996
3/3/2017,251.570007
3/6/2017,251.210007
3/7/2017,248.589996
3/8/2017,246.869995
3/9/2017,244.899994
3/10/2017,243.690002
3/13/2017,246.169998
3/14/2017,258
3/15/2017,255.729996
3/16/2017,262.049988
3/17/2017,261.5
3/20/2017,261.920013
3/21/2017,250.679993
3/22/2017,255.009995
3/23/2017,254.779999
3/24/2017,263.160004
3/27/2017,270.220001
3/28/2017,277.450012
3/29/2017,277.380005
3/30/2017,277.920013
3/31/2017,278.299988
4/3/2017,298.519989
4/4/2017,303.700012
4/5/2017,295
4/6/2017,298.700012
4/7/2017,302.540009
4/10/2017,312.390015
4/11/2017,308.709991
4/12/2017,296.839996
4/13/2017,304
4/17/2017,301.440002
4/18/2017,300.25
4/19/2017,305.519989
4/20/2017,302.51001
4/21/2017,305.600006
4/24/2017,308.029999
4/25/2017,313.790009
4/26/2017,310.170013
4/27/2017,308.630005
4/28/2017,314.070007
5/1/2017,322.829987
5/2/2017,318.890015
5/3/2017,311.019989
5/4/2017,295.459991
5/5/2017,308.350006
5/8/2017,307.190002
5/9/2017,321.26001
5/10/2017,325.220001
5/11/2017,323.100006
5/12/2017,324.809998
5/15/2017,315.880005
5/16/2017,317.01001
5/17/2017,306.109985
5/18/2017,313.059998
5/19/2017,310.829987
5/22/2017,310.350006
5/23/2017,303.859985
5/24/2017,310.220001
5/25/2017,316.829987
5/26/2017,325.140015
5/30/2017,335.100006
5/31/2017,341.01001
6/1/2017,340.369995
6/2/2017,339.850006
6/5/2017,347.320007
6/6/2017,352.850006
6/7/2017,359.649994
6/8/2017,370
6/9/2017,357.320007
6/12/2017,359.01001
6/13/2017,375.950012
6/14/2017,380.660004
6/15/2017,375.339996
6/16/2017,371.399994
6/19/2017,369.799988
6/20/2017,372.23999
6/21/2017,376.399994
6/22/2017,382.609985
6/23/2017,383.450012
6/26/2017,377.48999
6/27/2017,362.369995
6/28/2017,371.23999
6/29/2017,360.75
6/30/2017,361.609985
7/3/2017,352.619995
7/5/2017,327.089996
7/6/2017,308.829987
7/7/2017,313.220001
7/10/2017,316.049988
7/11/2017,327.220001
7/12/2017,329.519989
7/13/2017,323.410004
7/14/2017,327.779999
7/17/2017,319.570007
7/18/2017,328.23999
7/19/2017,325.26001
7/20/2017,329.920013
7/21/2017,328.399994
7/24/2017,342.519989
7/25/2017,339.600006
7/26/2017,343.850006
7/27/2017,334.459991
7/28/2017,335.070007
7/31/2017,323.470001
8/1/2017,319.570007
8/2/2017,325.890015
8/3/2017,347.089996
8/4/2017,356.910004
8/7/2017,355.170013
8/8/2017,365.220001
8/9/2017,363.529999
8/10/2017,355.399994
8/11/2017,357.869995
8/14/2017,363.799988
8/15/2017,362.329987
8/16/2017,362.910004
8/17/2017,351.920013
8/18/2017,347.459991
8/21/2017,337.859985
8/22/2017,341.350006
8/23/2017,352.769989
8/24/2017,352.929993
8/25/2017,348.049988
8/28/2017,345.660004
8/29/2017,347.359985
8/30/2017,353.179993
8/31/2017,355.899994
9/1/2017,355.399994
9/5/2017,349.589996
9/6/2017,344.529999
9/7/2017,350.609985
9/8/2017,343.399994
9/11/2017,363.690002
9/12/2017,362.75
9/13/2017,366.230011
9/14/2017,377.640015
9/15/2017,379.809998
9/18/2017,385
9/19/2017,375.100006
9/20/2017,373.910004
9/21/2017,366.480011
9/22/2017,351.089996
9/25/2017,344.98999
9/26/2017,345.25
9/27/2017,340.970001
9/28/2017,339.600006
9/29/2017,341.100006
10/2/2017,341.529999
10/3/2017,348.140015
10/4/2017,355.01001
10/5/2017,355.329987
10/6/2017,356.880005
10/9/2017,342.940002
10/10/2017,355.589996
10/11/2017,354.600006
10/12/2017,355.679993
10/13/2017,355.570007
10/16/2017,350.600006
10/17/2017,355.75
10/18/2017,359.649994
10/19/2017,351.809998
10/20/2017,345.100006
10/23/2017,337.019989
10/24/2017,337.339996
10/25/2017,325.839996
10/26/2017,326.170013
10/27/2017,320.869995
10/30/2017,320.079987
10/31/2017,331.529999
11/1/2017,321.079987
11/2/2017,299.26001
11/3/2017,306.089996
11/6/2017,302.779999
11/7/2017,306.049988
11/8/2017,304.390015
11/9/2017,302.98999
11/10/2017,302.98999
11/13/2017,315.399994
11/14/2017,308.700012
11/15/2017,311.299988
11/16/2017,312.5
11/17/2017,315.049988
11/20/2017,308.73999
11/21/2017,317.809998
11/22/2017,312.600006
11/24/2017,315.549988
11/27/2017,316.809998
11/28/2017,317.549988
11/29/2017,307.540009
11/30/2017,308.850006
12/1/2017,306.529999
12/4/2017,305.200012
12/5/2017,303.700012
12/6/2017,313.26001
12/7/2017,311.23999
12/8/2017,315.130005
12/11/2017,328.910004
12/12/2017,341.029999
12/13/2017,339.029999
12/14/2017,337.890015
12/15/2017,343.450012
12/18/2017,338.869995
12/19/2017,331.100006
12/20/2017,328.980011
12/21/2017,331.660004
12/22/2017,325.200012
12/26/2017,317.290009
12/27/2017,311.640015
12/28/2017,315.359985
12/29/2017,311.350006
1/2/2018,320.529999
1/3/2018,317.25
1/4/2018,314.619995
1/5/2018,316.579987
1/8/2018,336.410004
1/9/2018,333.690002
1/10/2018,334.799988
1/11/2018,337.950012
1/12/2018,336.220001
1/16/2018,340.059998
1/17/2018,347.160004
1/18/2018,344.570007
1/19/2018,350.019989
1/22/2018,351.559998
1/23/2018,352.790009
1/24/2018,345.890015
1/25/2018,337.640015
1/26/2018,342.850006
1/29/2018,349.529999
1/30/2018,345.820007
1/31/2018,354.309998
2/1/2018,349.25
2/2/2018,343.75
2/5/2018,333.130005
2/6/2018,333.970001
2/7/2018,345
2/8/2018,315.230011
2/9/2018,310.420013
