Date,Closing_price
11/27/17,71.53
11/28/17,72.62
11/29/17,73.26
11/30/17,74.51
12/1/17,73.59
12/4/17,74.21
12/5/17,73.58
12/6/17,73.69
12/7/17,74.37
12/8/17,74.69
12/11/17,74.54
12/12/17,74.62
12/13/17,74.91
12/14/17,74.40
12/15/17,74.52
12/18/17,75.05
12/19/17,75.07
12/20/17,75.32
12/21/17,75.38
12/22/17,75.40
12/26/17,75.48
12/27/17,75.66
12/28/17,75.81
12/29/17,75.67
1/2/18,76.12
1/3/18,76.53
1/4/18,77.09
1/5/18,77.62
1/8/18,77.94
1/9/18,78.44
1/10/18,78.43
1/11/18,79.43
1/12/18,80.17
1/16/18,79.45
1/17/18,79.89
1/18/18,79.46
1/19/18,79.69
1/22/18,79.69
1/23/18,79.73
1/24/18,79.66
1/25/18,79.74
1/26/18,80.66
1/29/18,80.12
1/30/18,79.49
1/31/18,79.73
2/1/18,79.59
2/2/18,77.99
2/5/18,74.45
2/6/18,75.81
2/7/18,75.95
2/8/18,73.02
2/9/18,73.81
2/12/18,75.00
2/13/18,75.17
2/14/18,76.12
2/15/18,77.27
2/16/18,77.29
2/20/18,76.51
2/21/18,76.53
2/22/18,77.04
2/23/18,77.68
2/26/18,78.75
2/27/18,77.76
2/28/18,76.65
3/1/18,75.15
3/2/18,75.13
3/5/18,76.03
3/6/18,76.37
3/7/18,76.36
3/8/18,76.76
3/9/18,78.45
3/12/18,77.48
3/13/18,77.10
3/14/18,76.26
3/15/18,76.48
3/16/18,76.58
3/19/18,75.99
3/20/18,76.25
3/21/18,76.34
3/22/18,73.82
3/23/18,72.74
3/26/18,74.50
3/27/18,73.47
3/28/18,73.22
3/29/18,74.29
4/2/18,72.76
4/3/18,73.77
4/4/18,74.09
4/5/18,74.84
4/6/18,72.77
4/9/18,72.55
4/10/18,73.66
4/11/18,73.12
4/12/18,74.17
4/13/18,73.99
4/16/18,74.73
4/17/18,75.36
4/18/18,76.14
4/19/18,75.93
4/20/18,75.60
4/23/18,75.51
4/24/18,73.40
4/25/18,73.61
4/26/18,73.34
4/27/18,73.19
4/30/18,72.22
5/1/18,71.89
5/2/18,71.26
5/3/18,71.43
5/4/18,72.26
5/7/18,72.74
5/8/18,73.26
5/9/18,74.05
5/10/18,74.55
5/11/18,74.71
5/14/18,74.58
5/15/18,74.33
5/16/18,74.60
5/17/18,74.89
5/18/18,75.33
5/21/18,76.47
5/22/18,75.53
5/23/18,75.46
5/24/18,75.83
5/25/18,75.69
5/29/18,74.48
5/30/18,75.53
5/31/18,74.44
6/1/18,75.26
6/4/18,75.15
6/5/18,75.24
6/6/18,75.87
6/7/18,76.19
6/8/18,76.44
6/11/18,76.59
6/12/18,76.51
6/13/18,75.90
6/14/18,75.61
6/15/18,75.12
6/18/18,74.81
6/19/18,73.23
6/20/18,73.28
6/21/18,72.36
6/22/18,72.61
6/25/18,71.69
6/26/18,71.96
6/27/18,71.38
6/28/18,71.48
6/29/18,71.63
7/2/18,71.79
7/3/18,71.56
7/5/18,71.91
7/6/18,72.16
7/9/18,73.50
7/10/18,73.73
7/11/18,72.52
7/12/18,73.37
7/13/18,73.75
7/16/18,73.45
7/17/18,73.74
7/18/18,74.55
7/19/18,74.52
7/20/18,74.44
7/23/18,73.98
7/24/18,74.29
7/25/18,75.42
7/26/18,76.00
7/27/18,76.01
7/30/18,75.26
7/31/18,76.92
8/1/18,75.88
8/2/18,75.78
8/3/18,75.85
8/6/18,75.96
8/7/18,76.50
8/8/18,76.16
8/9/18,75.74
8/10/18,75.07
8/13/18,74.71
8/14/18,75.23
8/15/18,74.87
8/16/18,75.82
8/17/18,76.28
8/20/18,76.79
8/21/18,77.36
8/22/18,76.61
8/23/18,76.39
8/24/18,76.72
8/27/18,77.69
8/28/18,77.53
8/29/18,77.59
8/30/18,77.05
8/31/18,77.10
9/4/18,77.04
9/5/18,77.59
9/6/18,77.83
9/7/18,77.59
9/10/18,77.99
9/11/18,77.97
9/12/18,78.21
9/13/18,78.68
9/14/18,79.07
9/17/18,79.10
9/18/18,79.82
9/19/18,79.75
9/20/18,79.87
9/21/18,80.00
9/24/18,78.63
9/25/18,78.39
9/26/18,78.34
9/27/18,78.45
9/28/18,78.40
10/1/18,79.09
10/2/18,79.27
10/3/18,79.60
10/4/18,79.34
10/5/18,78.93
10/8/18,79.13
10/9/18,77.91
10/10/18,75.40
10/11/18,73.41
10/12/18,73.90
10/15/18,74.04
10/16/18,75.29
10/17/18,74.74
10/18/18,73.45
10/19/18,73.18
10/22/18,72.93
10/23/18,71.73
10/24/18,69.30
10/25/18,69.79
10/26/18,69.10
10/29/18,67.95
10/30/18,69.35
10/31/18,69.88
11/1/18,71.11
11/2/18,70.99
11/5/18,71.36
11/6/18,72.11
11/7/18,73.28
11/8/18,73.16
11/9/18,72.42
11/12/18,70.99
11/13/18,71.31
11/14/18,71.07
11/15/18,72.01
11/16/18,71.99
11/19/18,70.85
11/20/18,69.38
11/21/18,69.87
11/23/18,69.73