date,open,high,low,close,volume,vwap
2013-09-11 08:00:00,1680.5,1681.75,1680.25,1681.25,24361,1680.864434957514
2013-09-11 09:00:00,1681.0,1682.75,1678.5,1679.5,203175,1681.1508576350436
2013-09-11 10:00:00,1679.5,1681.5,1677.75,1680.0,264158,1679.4551272344581
2013-09-11 11:00:00,1680.0,1685.75,1680.0,1684.5,246969,1682.9053180763578
2013-09-11 12:00:00,1684.75,1686.25,1683.5,1685.75,186189,1684.9297729726245
2013-09-11 13:00:00,1685.75,1687.5,1684.75,1687.0,140188,1686.137374454304
2013-09-11 14:00:00,1686.75,1687.75,1685.0,1685.5,123229,1686.3145383797646
2013-09-11 15:00:00,1685.5,1688.5,1684.25,1688.5,184078,1685.7477115679224
2013-09-11 16:00:00,1688.5,1690.0,1687.5,1690.0,72575,1688.3510885291078
2013-09-11 17:00:00,1689.75,1690.5,1689.75,1690.25,3977,1690.094229318582
2013-09-11 18:00:00,1689.75,1690.0,1688.75,1689.25,3700,1689.5235810810811
2013-09-11 19:00:00,1689.25,1689.5,1688.25,1688.75,4406,1688.8774398547434
2013-09-11 20:00:00,1688.5,1689.5,1687.5,1687.75,8080,1688.4392945544555
2013-09-11 21:00:00,1687.75,1690.0,1687.25,1687.25,9105,1688.4526908292148
2013-09-11 22:00:00,1687.25,1688.5,1687.25,1688.0,3474,1687.7602187679909
2013-09-11 23:00:00,1688.0,1688.5,1687.5,1688.25,1716,1688.0483682983684
2013-09-12 00:00:00,1688.5,1688.75,1687.5,1687.75,1647,1687.945051608986
2013-09-12 01:00:00,1687.5,1688.75,1687.5,1688.25,4264,1688.2465994371482
2013-09-12 02:00:00,1688.5,1688.5,1686.75,1687.0,5804,1687.3444176430048
2013-09-12 03:00:00,1687.25,1688.25,1686.75,1687.5,13933,1687.5546723605828
2013-09-12 04:00:00,1687.75,1688.25,1686.5,1687.0,14627,1687.085048198537
2013-09-12 05:00:00,1687.0,1687.0,1685.25,1686.0,16047,1686.1705770549013
2013-09-12 06:00:00,1686.25,1687.75,1685.25,1687.5,13339,1686.7430092210811
2013-09-12 07:00:00,1687.5,1689.5,1686.75,1689.25,24272,1687.9333697264337
2013-09-12 08:00:00,1689.25,1689.5,1687.0,1688.75,30799,1688.2360141563038
2013-09-12 09:00:00,1688.5,1689.0,1685.0,1688.0,163482,1686.9832259820653
2013-09-12 10:00:00,1688.0,1690.0,1687.0,1687.75,107791,1688.4801583620153
2013-09-12 11:00:00,1687.75,1688.75,1684.25,1685.25,133403,1686.115287887079
2013-09-12 12:00:00,1685.25,1685.5,1681.75,1684.25,105410,1683.5384237738356
2013-09-12 13:00:00,1684.5,1687.5,1684.0,1685.75,60716,1686.0789742407273
2013-09-12 14:00:00,1685.75,1686.75,1683.75,1686.75,75534,1685.559506315037
2013-09-12 15:00:00,1686.75,1686.75,1681.25,1683.75,160123,1683.3932461295378
2013-09-12 16:00:00,1683.75,1685.75,1683.5,1685.25,64700,1684.556673106646
2013-09-12 17:00:00,1685.5,1685.75,1684.75,1685.5,2284,1685.2606173380036
2013-09-12 18:00:00,1678.25,1679.5,1678.0,1679.0,1286,1678.702566096423
2013-09-12 19:00:00,1679.0,1679.25,1678.25,1679.0,383,1678.8126631853786
2013-09-12 20:00:00,1679.0,1680.75,1679.0,1680.25,3620,1680.0399861878452
2013-09-12 21:00:00,1680.25,1680.25,1679.0,1679.5,2977,1679.710194827007
2013-09-12 22:00:00,1679.5,1679.75,1678.25,1678.75,2261,1678.8264042459089
2013-09-12 23:00:00,1678.75,1679.25,1678.25,1679.0,1905,1678.6339895013123
2013-09-13 00:00:00,1679.25,1679.5,1678.75,1679.25,1043,1679.2281879194632
2013-09-13 01:00:00,1679.25,1679.25,1674.0,1675.75,8704,1676.1252872242646
2013-09-13 02:00:00,1675.5,1677.25,1675.5,1676.0,4290,1676.1518065268065
2013-09-13 03:00:00,1676.0,1679.0,1675.5,1678.0,13918,1677.339668055755
2013-09-13 04:00:00,1678.0,1678.0,1674.75,1676.25,11985,1676.0746766791824
2013-09-13 05:00:00,1676.25,1677.25,1675.5,1676.0,4208,1676.3475522813687
2013-09-13 06:00:00,1676.0,1677.25,1675.75,1676.75,5741,1676.5056174882425
2013-09-13 07:00:00,1676.75,1679.0,1676.0,1678.25,11837,1677.7173903860776
2013-09-13 08:00:00,1678.0,1680.5,1678.0,1679.5,23029,1679.3077966911285
2013-09-13 09:00:00,1679.5,1682.25,1677.75,1680.25,141817,1679.5720647031033
2013-09-13 10:00:00,1680.25,1680.5,1675.0,1679.25,184539,1677.6346124667414
2013-09-13 11:00:00,1679.0,1681.5,1678.5,1680.5,81903,1680.0114647815099
2013-09-13 12:00:00,1680.5,1681.75,1679.25,1679.5,42007,1680.4546206584616
2013-09-13 13:00:00,1679.5,1681.25,1679.5,1681.25,29272,1680.664312312107
2013-09-13 14:00:00,1681.25,1682.0,1680.25,1680.5,39491,1681.133612721886
2013-09-13 15:00:00,1680.5,1681.5,1678.75,1681.0,94667,1680.3282268372295
2013-09-13 16:00:00,1681.0,1683.75,1680.25,1683.0,46869,1681.492617721735
2013-09-13 17:00:00,1683.25,1683.25,1682.5,1682.75,936,1682.8330662393162
2013-09-13 18:00:00,,,,,0,
2013-09-13 19:00:00,,,,,0,
2013-09-13 20:00:00,,,,,0,
2013-09-13 21:00:00,,,,,0,
2013-09-13 22:00:00,,,,,0,
2013-09-13 23:00:00,,,,,0,
2013-09-14 00:00:00,,,,,0,
2013-09-14 01:00:00,,,,,0,
2013-09-14 02:00:00,,,,,0,
2013-09-14 03:00:00,,,,,0,
2013-09-14 04:00:00,,,,,0,
2013-09-14 05:00:00,,,,,0,
2013-09-14 06:00:00,,,,,0,
2013-09-14 07:00:00,,,,,0,
2013-09-14 08:00:00,,,,,0,
2013-09-14 09:00:00,,,,,0,
2013-09-14 10:00:00,,,,,0,
2013-09-14 11:00:00,,,,,0,
2013-09-14 12:00:00,,,,,0,
2013-09-14 13:00:00,,,,,0,
2013-09-14 14:00:00,,,,,0,
2013-09-14 15:00:00,,,,,0,
2013-09-14 16:00:00,,,,,0,
2013-09-14 17:00:00,,,,,0,
2013-09-14 18:00:00,,,,,0,
2013-09-14 19:00:00,,,,,0,
2013-09-14 20:00:00,,,,,0,
2013-09-14 21:00:00,,,,,0,
2013-09-14 22:00:00,,,,,0,
2013-09-14 23:00:00,,,,,0,
2013-09-15 00:00:00,,,,,0,
2013-09-15 01:00:00,,,,,0,
2013-09-15 02:00:00,,,,,0,
2013-09-15 03:00:00,,,,,0,
2013-09-15 04:00:00,,,,,0,
2013-09-15 05:00:00,,,,,0,
2013-09-15 06:00:00,,,,,0,
2013-09-15 07:00:00,,,,,0,
2013-09-15 08:00:00,,,,,0,
2013-09-15 09:00:00,,,,,0,
2013-09-15 10:00:00,,,,,0,
2013-09-15 11:00:00,,,,,0,
2013-09-15 12:00:00,,,,,0,
2013-09-15 13:00:00,,,,,0,
2013-09-15 14:00:00,,,,,0,
2013-09-15 15:00:00,,,,,0,
2013-09-15 16:00:00,,,,,0,
2013-09-15 17:00:00,,,,,0,
2013-09-15 18:00:00,1693.0,1703.75,1692.0,1700.75,64976,1698.6080398916522
2013-09-15 19:00:00,1700.75,1701.75,1699.25,1700.0,11627,1700.6708953298357
2013-09-15 20:00:00,1699.75,1700.5,1699.25,1700.0,8065,1699.8592064476131
2013-09-15 21:00:00,1700.0,1700.25,1699.0,1699.5,5161,1699.6902732028677
2013-09-15 22:00:00,1699.25,1700.0,1699.0,1700.0,2466,1699.6225669099756
2013-09-15 23:00:00,1700.0,1700.75,1699.5,1700.75,2791,1700.2681834467933
2013-09-16 00:00:00,1700.5,1701.0,1700.0,1700.25,3212,1700.5101961394769
2013-09-16 01:00:00,1700.25,1700.5,1699.25,1699.75,4641,1699.909017453135
2013-09-16 02:00:00,1699.75,1699.75,1698.5,1699.25,12049,1699.1701593493235
2013-09-16 03:00:00,1699.25,1699.75,1697.5,1699.25,27640,1698.4046490593344
2013-09-16 04:00:00,1699.25,1702.5,1699.0,1700.75,23300,1701.3578755364806
2013-09-16 05:00:00,1700.75,1701.75,1699.75,1700.25,9129,1700.810658341549
2013-09-16 06:00:00,1700.25,1701.5,1699.5,1699.5,12367,1700.4865973962967
2013-09-16 07:00:00,1699.5,1700.5,1699.0,1699.75,15986,1699.6488020768172
2013-09-16 08:00:00,1699.75,1700.0,1697.5,1698.0,25724,1698.5893232001245
2013-09-16 09:00:00,1698.0,1700.5,1693.5,1694.75,236557,1696.4286641274618
2013-09-16 10:00:00,1694.75,1696.75,1691.75,1694.5,214634,1694.6086593922678
2013-09-16 11:00:00,1694.25,1697.25,1693.75,1697.0,108175,1695.5290154841691
2013-09-16 12:00:00,1697.0,1698.5,1695.0,1695.25,95927,1697.0173074316929
2013-09-16 13:00:00,1695.0,1696.0,1690.0,1692.75,104726,1693.005860531291
2013-09-16 14:00:00,1692.75,1693.25,1689.0,1690.0,128289,1691.0815931217796
2013-09-16 15:00:00,1689.75,1692.5,1688.0,1690.5,189504,1690.1071059186086
2013-09-16 16:00:00,1690.5,1692.25,1689.5,1690.75,65209,1690.7752725850726
2013-09-16 17:00:00,1690.75,1691.0,1689.0,1689.25,3899,1689.7614131828675
2013-09-16 18:00:00,1689.0,1690.75,1688.75,1690.75,5087,1690.0314035777471
2013-09-16 19:00:00,1690.5,1690.5,1688.25,1688.5,3201,1689.3994845360826
2013-09-16 20:00:00,1688.5,1690.0,1688.0,1689.0,4943,1688.951901679142
2013-09-16 21:00:00,1689.25,1690.25,1688.75,1688.75,2356,1689.5078522920203
2013-09-16 22:00:00,1689.0,1690.25,1688.75,1690.25,1777,1689.6354811480023
2013-09-16 23:00:00,1690.25,1690.75,1689.25,1689.5,3190,1689.9615987460816
2013-09-17 00:00:00,1689.25,1689.5,1688.5,1688.75,1296,1688.981674382716
2013-09-17 01:00:00,1689.0,1689.25,1688.0,1689.0,2702,1688.6259252405625
2013-09-17 02:00:00,1688.75,1689.75,1688.5,1689.5,5166,1689.0599593495936
2013-09-17 03:00:00,1689.5,1691.25,1688.25,1688.5,14270,1689.8778556412053
2013-09-17 04:00:00,1688.25,1690.25,1687.75,1689.75,10413,1688.8058676654182
2013-09-17 05:00:00,1689.5,1690.5,1688.0,1689.25,15875,1688.9391968503937
2013-09-17 06:00:00,1689.5,1689.75,1688.25,1689.5,10194,1689.0896605846576
2013-09-17 07:00:00,1689.5,1691.5,1688.5,1691.25,21160,1690.1805056710775
2013-09-17 08:00:00,1691.25,1692.75,1690.75,1691.75,32894,1691.683354107132
2013-09-17 09:00:00,1691.75,1696.5,1691.75,1695.25,178968,1694.1206556479372
2013-09-17 10:00:00,1695.25,1697.75,1694.75,1696.25,145936,1696.3293481389103
2013-09-17 11:00:00,1696.0,1697.25,1695.5,1696.25,78870,1696.2845029795867
2013-09-17 12:00:00,1696.25,1698.25,1695.75,1698.0,46073,1696.7664901352202
2013-09-17 13:00:00,1698.0,1698.5,1697.0,1698.25,52282,1697.7653637963354
2013-09-17 14:00:00,1698.25,1698.75,1697.25,1698.0,56307,1698.0235672296517
2013-09-17 15:00:00,1697.75,1698.25,1696.5,1698.25,131108,1697.594895048357
2013-09-17 16:00:00,1698.0,1699.75,1697.5,1699.25,63286,1698.1599445374964
2013-09-17 17:00:00,1699.25,1699.75,1699.0,1699.25,1740,1699.3543103448276
2013-09-17 18:00:00,1699.25,1699.75,1698.25,1698.75,3886,1698.9201621204322
2013-09-17 19:00:00,1698.75,1699.25,1698.5,1699.0,1782,1698.9170875420875
2013-09-17 20:00:00,1698.75,1700.0,1698.5,1699.25,5078,1699.353239464356
2013-09-17 21:00:00,1699.0,1700.5,1699.0,1700.5,4587,1700.0850228907782
2013-09-17 22:00:00,1700.25,1701.0,1700.0,1700.0,3039,1700.4539322145442
2013-09-17 23:00:00,1700.25,1700.25,1698.25,1699.25,4728,1699.2818845177665
2013-09-18 00:00:00,1699.5,1699.75,1699.0,1699.25,972,1699.2924382716049
2013-09-18 01:00:00,1699.25,1700.0,1699.0,1699.75,1901,1699.5482640715413
2013-09-18 02:00:00,1700.0,1700.0,1698.75,1699.5,4459,1699.2372729311505
2013-09-18 03:00:00,1699.25,1700.0,1698.0,1698.75,13829,1699.0028382384844
2013-09-18 04:00:00,1699.0,1700.75,1699.0,1700.5,14234,1700.1261767598708
2013-09-18 05:00:00,1700.75,1701.75,1699.75,1700.5,16116,1700.8420203524447
2013-09-18 06:00:00,1700.25,1700.75,1699.25,1700.25,15214,1699.9780794005521
2013-09-18 07:00:00,1700.25,1700.5,1699.0,1699.5,12205,1699.7057968045883
2013-09-18 08:00:00,1699.5,1700.25,1698.25,1698.5,34451,1699.2116121447852
2013-09-18 09:00:00,1698.5,1699.0,1697.0,1697.75,132714,1698.0251763190017
2013-09-18 10:00:00,1697.75,1699.25,1694.5,1696.0,164055,1696.6717579470298
2013-09-18 11:00:00,1696.0,1696.5,1694.0,1694.5,96103,1695.3909113139027
2013-09-18 12:00:00,1694.25,1695.5,1693.25,1695.25,86621,1694.1810646379054
2013-09-18 13:00:00,1695.0,1697.5,1695.0,1695.5,88337,1696.1416082728642
2013-09-18 14:00:00,1695.75,1722.5,1695.75,1722.25,710109,1712.9797485315635
2013-09-18 15:00:00,1722.5,1723.25,1716.25,1718.5,400833,1718.9370136690343
2013-09-18 16:00:00,1718.75,1719.25,1717.25,1718.5,111944,1718.059435967984
2013-09-18 17:00:00,1718.25,1719.0,1718.25,1719.0,3837,1718.7304534792806
2013-09-18 18:00:00,1718.5,1719.75,1718.5,1719.25,7304,1718.9087828587076
2013-09-18 19:00:00,1719.5,1720.5,1719.0,1719.5,8099,1719.8902333621434
2013-09-18 20:00:00,1719.5,1719.75,1718.25,1718.75,5858,1718.8720553089793
2013-09-18 21:00:00,1718.75,1719.5,1718.25,1719.5,4411,1718.7761278621629
2013-09-18 22:00:00,1719.5,1720.75,1719.25,1720.5,6909,1720.1158271819365
2013-09-18 23:00:00,1720.5,1720.75,1718.75,1719.0,5801,1719.4315204275124
2013-09-19 00:00:00,1718.75,1719.75,1718.75,1719.25,1976,1719.4409159919028
2013-09-19 01:00:00,1719.25,1720.75,1719.0,1720.5,5983,1719.9471836871135
2013-09-19 02:00:00,1720.5,1721.25,1719.0,1720.75,13145,1720.3270254849754
2013-09-19 03:00:00,1721.0,1723.75,1720.25,1722.75,45397,1721.6512104324074
2013-09-19 04:00:00,1722.75,1723.5,1722.25,1723.5,22250,1722.763404494382
2013-09-19 05:00:00,1723.5,1726.75,1723.25,1725.5,39974,1725.1269387601942
2013-09-19 06:00:00,1725.75,1726.5,1725.0,1725.25,17537,1725.6448651422706
2013-09-19 07:00:00,1725.0,1725.75,1721.75,1723.0,23343,1723.578599580174
2013-09-19 08:00:00,1723.0,1723.0,1721.0,1721.75,50252,1722.0545948419963
2013-09-19 09:00:00,1721.75,1723.75,1718.25,1721.75,264173,1720.9850637650327
2013-09-19 10:00:00,1722.0,1722.75,1717.75,1719.75,290565,1719.9009799872663
2013-09-19 11:00:00,1719.75,1720.0,1715.5,1716.75,195523,1717.6096750765894
2013-09-19 12:00:00,1716.75,1718.75,1716.0,1716.0,99547,1717.6278592021858
2013-09-19 13:00:00,1716.0,1717.0,1713.5,1713.75,138805,1715.1312830949894
2013-09-19 14:00:00,1713.75,1716.5,1713.25,1715.75,98484,1714.9415691889037
2013-09-19 15:00:00,1715.5,1717.5,1714.5,1715.5,182060,1716.013539492475
2013-09-19 16:00:00,1715.5,1717.75,1715.0,1716.5,76171,1716.2544111275945
2013-09-19 17:00:00,1716.5,1717.5,1716.25,1717.0,3601,1717.0990002777007
2013-09-19 18:00:00,1717.25,1717.5,1716.0,1716.5,5322,1716.5241450582487
2013-09-19 19:00:00,1716.5,1716.75,1715.5,1716.0,1557,1715.9964675658318
2013-09-19 20:00:00,1715.75,1716.0,1715.25,1715.75,2674,1715.6805347793568
2013-09-19 21:00:00,1715.5,1715.75,1714.25,1715.0,4057,1714.966785802317
2013-09-19 22:00:00,1715.0,1715.75,1715.0,1715.5,1112,1715.3610611510792
2013-09-19 23:00:00,1715.5,1715.75,1715.0,1715.25,1787,1715.3276440962507
2013-09-20 00:00:00,1715.0,1715.5,1714.75,1715.5,848,1715.1435731132076
2013-09-20 01:00:00,1715.5,1716.0,1715.25,1716.0,1782,1715.864478114478
2013-09-20 02:00:00,1716.0,1716.25,1714.5,1715.5,6081,1715.310598585759
2013-09-20 03:00:00,1715.75,1717.25,1714.75,1716.5,18479,1715.8219871205151
2013-09-20 04:00:00,1716.75,1717.5,1716.25,1716.5,11346,1716.9181870262648
2013-09-20 05:00:00,1716.5,1717.5,1716.0,1717.25,14211,1716.7066708887482
2013-09-20 06:00:00,1717.25,1717.5,1716.5,1717.25,9577,1717.0177769656468
2013-09-20 07:00:00,1717.0,1718.5,1716.0,1716.25,25278,1717.5803762164728
2013-09-20 08:00:00,1716.5,1716.5,1713.75,1716.0,82134,1714.9550247157085
2013-09-20 09:00:00,1715.75,1719.5,1713.0,1714.5,275780,1716.6523279425628
2013-09-20 10:00:00,1714.25,1715.75,1711.75,1714.5,223140,1713.997405216456
2013-09-20 11:00:00,1714.25,1715.25,1707.75,1708.25,203430,1711.5506906552623
2013-09-20 12:00:00,1708.25,1710.0,1706.75,1709.5,142231,1708.3906321406726
2013-09-20 13:00:00,1709.5,1710.0,1705.25,1705.5,124802,1707.0508906107275
2013-09-20 14:00:00,1705.5,1707.25,1704.0,1705.75,136758,1705.5192602992147
2013-09-20 15:00:00,1705.75,1707.0,1701.25,1702.75,297173,1703.7158019066335
2013-09-20 16:00:00,1702.75,1704.5,1701.25,1704.25,130918,1702.5014627476742
2013-09-20 17:00:00,1704.25,1704.75,1703.5,1703.75,3167,1704.2489737922324
